file_path,version,last_modified,change_id,status,author
slr_wizard/__init__.py,1.1.0,2026-03-20,20260320-AZ-v1.1.0,production,Alex Zelenski GISP
slr_wizard/engine.py,1.0.0,2026-03-19,20260319-AZ-v1.0.0,production,Alex Zelenski GISP
slr_wizard/cli.py,1.0.0,2026-03-19,20260319-AZ-v1.0.0,production,Alex Zelenski GISP
slr_wizard/web_api.py,1.1.0,2026-03-20,20260320-AZ-v1.1.0,production,Alex Zelenski GISP
slr_wizard/monitoring.py,1.0.0,2026-03-19,20260319-AZ-v1.0.0,production,Alex Zelenski GISP
slr_wizard/recovery.py,1.0.0,2026-03-19,20260319-AZ-v1.0.0,production,Alex Zelenski GISP
slr_wizard/report.py,1.0.0,2026-03-19,20260319-AZ-v1.0.0,production,Alex Zelenski GISP
pyproject.toml,1.1.0,2026-03-20,20260320-AZ-v1.1.0,production,Alex Zelenski GISP
Dockerfile,1.0.0,2026-03-19,20260319-AZ-v1.0.0,production,Alex Zelenski GISP
tests/test_engine.py,1.0.0,2026-03-20,20260320-AZ-v1.1.0,production,Alex Zelenski GISP
tests/test_monitoring.py,1.0.0,2026-03-20,20260320-AZ-v1.1.0,production,Alex Zelenski GISP
tests/test_recovery.py,1.0.0,2026-03-20,20260320-AZ-v1.1.0,production,Alex Zelenski GISP
tests/test_report.py,1.0.0,2026-03-20,20260320-AZ-v1.1.0,production,Alex Zelenski GISP
tests/test_web_api.py,1.0.0,2026-03-20,20260320-AZ-v1.1.0,production,Alex Zelenski GISP
